NO_OF_FRAMES	180
NO_OF_CAMERAS	0
NO_OF_MARKERS	14
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S01_SACR	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S01_SACR X	S01_SACR Y	S01_SACR Z	
24	0.24000	524.857	1114.621	1253.542	422.323	1086.264	1261.699	425.703	1337.286	1233.021	488.641	1353.050	1129.117	659.938	1154.960	1053.397	254.900	1411.860	1078.177	656.381	1040.607	735.900	97.142	1220.515	799.348	581.898	874.915	861.638	226.490	1052.068	895.832	593.577	950.570	1471.483	323.783	1009.396	771.197	726.653	713.680	924.430	525.468	1458.977	593.553
25	0.25000	524.861	1114.556	1253.425	422.316	1086.263	1261.627	425.838	1337.286	1233.058	488.706	1353.088	1129.108	659.971	1155.012	1053.332	254.983	1411.972	1078.175	656.366	1040.706	735.815	97.174	1220.659	799.337	581.836	875.012	861.580	226.568	1052.273	895.816	593.829	951.477	1471.408	323.847	1009.465	771.136	726.527	713.693	924.282	525.488	1458.947	593.501
26	0.26000	524.862	1114.488	1253.302	422.305	1086.262	1261.550	425.977	1337.288	1233.093	488.768	1353.127	1129.097	660.007	1155.072	1053.267	255.060	1412.077	1078.174	656.342	1040.811	735.724	97.212	1220.799	799.320	581.762	875.109	861.531	226.647	1052.476	895.800	594.000	952.311	1471.361	323.920	1009.574	771.066	726.402	713.713	924.123	525.498	1458.951	593.472
27	0.27000	524.868	1114.428	1253.178	422.299	1086.260	1261.468	426.111	1337.292	1233.127	488.827	1353.169	1129.086	660.046	1155.133	1053.195	255.129	1412.176	1078.175	656.309	1040.917	735.630	97.256	1220.937	799.299	581.676	875.212	861.486	226.724	1052.677	895.786	594.092	953.063	1471.332	323.996	1009.728	770.977	726.282	713.743	923.955	525.497	1458.989	593.465
28	0.28000	524.887	1114.382	1253.061	422.309	1086.257	1261.386	426.233	1337.297	1233.156	488.881	1353.216	1129.080	660.090	1155.186	1053.106	255.190	1412.274	1078.178	656.269	1041.024	735.533	97.304	1221.071	799.273	581.581	875.324	861.441	226.798	1052.879	895.777	594.110	953.725	1471.311	324.073	1009.925	770.867	726.168	713.785	923.782	525.490	1459.053	593.475
29	0.29000	524.923	1114.356	1252.954	422.342	1086.251	1261.308	426.335	1337.304	1233.181	488.930	1353.272	1129.087	660.140	1155.217	1052.992	255.242	1412.370	1078.183	656.226	1041.129	735.435	97.353	1221.202	799.245	581.484	875.445	861.389	226.870	1053.080	895.771	594.066	954.302	1471.294	324.153	1010.153	770.742	726.060	713.836	923.610	525.480	1459.124	593.489
30	0.30000	524.978	1114.351	1252.859	422.400	1086.246	1261.236	426.414	1337.313	1233.200	488.977	1353.340	1129.115	660.194	1155.217	1052.843	255.287	1412.463	1078.186	656.182	1041.234	735.335	97.404	1221.331	799.214	581.389	875.570	861.326	226.942	1053.276	895.764	593.971	954.797	1471.279	324.247	1010.392	770.614	725.956	713.891	923.444	525.476	1459.183	593.493
31	0.31000	525.048	1114.366	1252.775	422.479	1086.243	1261.172	426.472	1337.325	1233.214	489.024	1353.427	1129.175	660.252	1155.181	1052.662	255.328	1412.545	1078.185	656.139	1041.339	735.234	97.453	1221.457	799.181	581.300	875.695	861.249	227.017	1053.459	895.749	593.846	955.218	1471.267	324.360	1010.621	770.494	725.854	713.948	923.284	525.481	1459.218	593.476
32	0.32000	525.126	1114.396	1252.697	422.572	1086.245	1261.115	426.516	1337.339	1233.226	489.071	1353.534	1129.266	660.308	1155.126	1052.468	255.367	1412.607	1078.179	656.097	1041.448	735.129	97.501	1221.579	799.145	581.220	875.814	861.157	227.094	1053.626	895.721	593.708	955.571	1471.254	324.492	1010.833	770.386	725.755	714.004	923.132	525.499	1459.229	593.439
33	0.33000	525.205	1114.434	1252.623	422.668	1086.253	1261.064	426.550	1337.356	1233.236	489.116	1353.648	1129.372	660.354	1155.076	1052.289	255.405	1412.654	1078.166	656.055	1041.561	735.023	97.549	1221.698	799.104	581.151	875.929	861.051	227.174	1053.775	895.673	593.577	955.861	1471.236	324.633	1011.025	770.288	725.661	714.061	922.982	525.527	1459.225	593.389
34	0.34000	525.277	1114.472	1252.552	422.756	1086.264	1261.019	426.583	1337.377	1233.248	489.156	1353.754	1129.465	660.387	1155.048	1052.145	255.440	1412.695	1078.144	656.012	1041.677	734.916	97.594	1221.814	799.057	581.093	876.041	860.938	227.253	1053.912	895.604	593.465	956.087	1471.206	324.774	1011.202	770.194	725.574	714.119	922.833	525.566	1459.212	593.333
35	0.35000	525.335	1114.503	1252.484	422.827	1086.278	1260.977	426.619	1337.401	1233.262	489.189	1353.838	1129.526	660.410	1155.049	1052.036	255.469	1412.741	1078.113	655.965	1041.793	734.812	97.638	1221.926	799.000	581.043	876.149	860.824	227.327	1054.042	895.518	593.383	956.249	1471.159	324.905	1011.368	770.100	725.497	714.180	922.679	525.617	1459.186	593.269
36	0.36000	525.377	1114.521	1252.420	422.878	1086.294	1260.934	426.662	1337.428	1233.281	489.215	1353.901	1129.553	660.430	1155.074	1051.954	255.493	1412.795	1078.073	655.915	1041.907	734.711	97.678	1222.038	798.933	580.998	876.254	860.712	227.389	1054.169	895.418	593.332	956.344	1471.092	325.017	1011.529	769.998	725.433	714.245	922.518	525.680	1459.146	593.197
37	0.37000	525.403	1114.525	1252.360	422.909	1086.311	1260.889	426.712	1337.453	1233.303	489.236	1353.949	1129.555	660.451	1155.118	1051.889	255.510	1412.852	1078.028	655.860	1042.016	734.613	97.717	1222.151	798.856	580.953	876.354	860.604	227.437	1054.296	895.313	593.316	956.373	1471.000	325.107	1011.688	769.881	725.380	714.314	922.347	525.749	1459.105	593.125
38	0.38000	525.415	1114.517	1252.302	422.920	1086.325	1260.840	426.767	1337.475	1233.326	489.253	1353.988	1129.543	660.476	1155.176	1051.830	255.522	1412.907	1077.980	655.801	1042.121	734.515	97.754	1222.266	798.769	580.907	876.454	860.495	227.468	1054.420	895.204	593.335	956.336	1470.876	325.168	1011.851	769.745	725.339	714.387	922.166	525.812	1459.078	593.066
