NO_OF_FRAMES	181
NO_OF_CAMERAS	0
NO_OF_MARKERS	14
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S01_SACR	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S01_SACR X	S01_SACR Y	S01_SACR Z	
24	0.24000	335.477	1015.229	1218.508	236.978	1053.078	1217.727	389.511	1250.409	1246.741	451.760	1239.803	1139.167	497.856	996.752	1036.134	297.639	1400.894	1103.640	437.946	940.426	724.146	64.092	1344.021	820.749	282.374	866.400	859.418	76.877	1137.884	922.205	137.387	936.012	1556.503	170.873	1027.351	810.132	299.290	594.480	912.198	592.437	1372.893	601.916
25	0.25000	334.729	1015.154	1217.339	236.316	1053.260	1216.128	389.129	1250.082	1246.787	451.978	1240.158	1138.982	498.526	997.134	1036.170	297.858	1401.546	1103.022	439.567	940.763	723.933	65.444	1346.462	818.555	283.707	866.477	858.804	76.580	1139.492	918.742	132.812	933.781	1551.430	171.924	1030.003	805.930	300.911	594.559	911.849	592.513	1373.016	601.681
26	0.26000	334.041	1015.122	1216.249	235.706	1053.448	1214.643	388.752	1249.799	1246.815	452.183	1240.492	1138.811	499.168	997.530	1036.174	298.124	1402.108	1102.441	441.089	941.065	723.721	66.766	1348.841	816.457	284.973	866.515	858.229	76.328	1141.071	915.350	129.004	931.452	1546.585	172.751	1032.643	801.992	302.509	594.624	911.491	592.577	1373.136	601.463
27	0.27000	333.419	1015.116	1215.238	235.153	1053.633	1213.268	388.393	1249.553	1246.842	452.368	1240.803	1138.658	499.767	997.919	1036.169	298.435	1402.568	1101.896	442.524	941.326	723.516	68.044	1351.159	814.448	286.186	866.514	857.692	76.128	1142.607	912.004	125.922	929.053	1541.966	173.390	1035.237	798.298	304.079	594.682	911.102	592.637	1373.248	601.257
28	0.28000	332.860	1015.113	1214.306	234.662	1053.806	1211.996	388.061	1249.340	1246.876	452.531	1241.088	1138.525	500.316	998.284	1036.165	298.762	1402.940	1101.386	443.892	941.549	723.326	69.271	1353.414	812.527	287.359	866.482	857.191	75.976	1144.094	908.705	123.502	926.620	1537.558	173.885	1037.753	794.818	305.621	594.738	910.678	592.700	1373.347	601.061
29	0.29000	332.352	1015.101	1213.446	234.234	1053.959	1210.824	387.762	1249.155	1246.915	452.671	1241.354	1138.414	500.817	998.622	1036.162	299.062	1403.266	1100.908	445.209	941.743	723.160	70.446	1355.600	810.690	288.496	866.434	856.719	75.862	1145.533	905.479	121.672	924.182	1533.335	174.274	1040.161	791.511	307.141	594.797	910.227	592.767	1373.437	600.871
30	0.30000	331.887	1015.084	1212.644	233.861	1054.090	1209.750	387.492	1248.994	1246.947	452.792	1241.609	1138.320	501.279	998.936	1036.156	299.312	1403.586	1100.461	446.481	941.923	723.023	71.568	1357.710	808.937	289.600	866.393	856.268	75.776	1146.926	902.360	120.367	921.770	1529.263	174.585	1042.439	788.323	308.648	594.862	909.760	592.837	1373.521	600.688
31	0.31000	331.458	1015.074	1211.891	233.532	1054.203	1208.766	387.241	1248.854	1246.967	452.898	1241.858	1138.240	501.715	999.238	1036.143	299.513	1403.915	1100.047	447.706	942.109	722.916	72.633	1359.732	807.270	290.671	866.383	855.833	75.710	1148.277	899.380	119.542	919.409	1525.314	174.831	1044.582	785.208	310.149	594.932	909.287	592.908	1373.606	600.516
32	0.32000	331.062	1015.082	1211.184	233.236	1054.308	1207.856	387.004	1248.733	1246.976	452.994	1242.106	1138.171	502.132	999.535	1036.127	299.676	1404.250	1099.667	448.877	942.321	722.832	73.636	1361.657	805.692	291.709	866.422	855.416	75.660	1149.580	896.556	119.178	917.121	1521.463	175.011	1046.601	782.130	311.643	595.007	908.821	592.975	1373.693	600.358
33	0.33000	330.705	1015.114	1210.519	232.971	1054.413	1207.005	386.774	1248.627	1246.988	453.084	1242.352	1138.111	502.529	999.835	1036.112	299.810	1404.585	1099.323	449.986	942.574	722.758	74.570	1363.482	804.209	292.710	866.521	855.023	75.621	1150.827	893.884	119.267	914.919	1517.698	175.115	1048.502	779.074	313.119	595.089	908.371	593.036	1373.785	600.216
